Grant,"Organization Name","Focus Area",Amount,Date
"Voters Organized to Educate — General Support (2019)","Voters Organized to Educate","Criminal Justice Reform","$950,000","August 2019"
"Colorado Criminal Justice Reform Coalition 4 Action — Prosecutor Accountability","Colorado Criminal Justice Reform Coalition 4 Action","Criminal Justice Reform","$100,000","October 2020"
"Animal Welfare Awareness, Research, and Education — Farm Animal Welfare Work","Animal Welfare Awareness, Research, and Education","Farm Animal Welfare","$64,600","October 2020"
"Asia for Animals — Farm Animal Welfare Coordinator","Asia for Animals","Farm Animal Welfare","$52,400","September 2020"
"The People’s Lobby — Prosecutorial Accountability","The People's Lobby","Criminal Justice Reform","$125,000","July 2020"
"World of Good — Research on Farm Animal Welfare Legislation","World of Good","Farm Animal Welfare","$10,178","June 2020"
"Council on Strategic Risks — Biological Weapons Prevention (November 2020)","Council on Strategic Risks","Biosecurity & Pandemic Preparedness","$1,180,000","November 2020"
"International Refugee Assistance Project — General Support (2020)","International Refugee Assistance Project","Immigration Policy","$1,000,000","November 2020"
"Compassion in World Farming — Farm Animal Welfare in Asia","Compassion in World Farming","Farm Animal Welfare","$1,391,971","November 2020"
"University of New South Wales — In Vitro Fertilization Research (Robert Gilchrist)","University of New South Wales","Transformative Basic Science","$2,500,000","November 2020"
"Telethon Kids Institute (University of Western Australia) — Strep A Vaccine (Jonathan Carapetis)","Telethon Kids Institute","Human Health and Wellbeing","$5,300,000","November 2020"
"Frontline Dads — General Support (October 2020)","Frontline Dads","Criminal Justice Reform","$60,000","October 2020"
"Reclaim Philadelphia — Judge Accountability Work (2020)","Reclaim Philadelphia","Criminal Justice Reform","$165,000","November 2020"
"Movement Alliance Project — Prosecutor Accountability (October 2020)","Movement Alliance Project","Criminal Justice Reform","$245,000","October 2020"
"Yale University — Cardiovascular Disease Therapy Research","Yale University","Human Health and Wellbeing","$450,000","November 2020"
"GiveWell — General Support (October 2020)",GiveWell,"Global Health & Development","$2,389,753","October 2020"
"VasoRX — Atherosclerosis and Pulmonary Arterial Hypertension Therapy",VasoRX,"Human Health and Wellbeing","$5,550,000","November 2020"
"YIMBY Law — General Support (October 2020)","YIMBY Law","Land Use Reform","$500,000","October 2020"
"Binx — COVID-19 Testing Platform",Binx,"Science Supporting Biosecurity and Pandemic Preparedness","$2,000,000","November 2020"
"WaitList Zero — General Support (2019)","WaitList Zero","Other Areas","$350,000","December 2019"
"221B Foundation — COVID-19 Testing in Nepal (Jay Mahat)","221B Foundation","Scientific Research","$100,000","November 2020"
"GLOBALG.A.P. — Fish Welfare Standards",GLOBALG.A.P.,"Farm Animal Welfare","$90,554","November 2020"
"Material Innovation Initiative — Plant-Based Fashion Alternatives","Material Innovation Initiative","Alternatives to Animal Products","$200,000","November 2020"
"1Day Sooner — General Support (November 2020)","1Day Sooner","Biosecurity & Pandemic Preparedness","$600,000","November 2020"
"Massachusetts Institute of Technology — AI Trends and Impacts Research (2020)","Massachusetts Institute of Technology",Longtermism,"$550,688","November 2020"
"Smitha Milli — Participatory Approaches to Machine Learning Workshop","Smitha Milli",Longtermism,$370,"October 2020"
"Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition","Vegan Women Summit","Alternatives to Animal Products","$20,000","October 2020"
"Success Stories — Workshop Support","Success Stories","Criminal Justice Reform","$50,000","October 2020"
"Sisters Unchained — General Support","Sisters Unchained","Criminal Justice Reform","$25,000","October 2020"
"Helping Educate to Advance the Rights of Deaf Communities — General Support (2020)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","$50,000","October 2020"
"UC Berkeley — In-Line Water Chlorination Devices (Amy Pickering)","UC Berkeley","Human Health and Wellbeing","$99,000","October 2020"
"Centre for Effective Altruism — Longtermist Incubator","Centre for Effective Altruism","Effective Altruism Community Growth","$500,000","September 2020"
"Federation of American Scientists — International Science Advisory Body for Biosecurity","Federation of American Scientists","Biosecurity & Pandemic Preparedness","$175,000","September 2020"
"Massachusetts Institute of Technology Media Lab — DNA Synthesis Screening Methods","Massachusetts Institute of Technology Media Lab","Biosecurity & Pandemic Preparedness","$890,000","October 2020"
"International Centre of Insect Physiology and Ecology — Malaria Prevention Research (Jeremy Herren)","International Centre of Insect Physiology and Ecology","Human Health and Wellbeing","$2,199,645","November 2020"
"Prism — Criminal Justice Vertical (2020)",Prism,"Criminal Justice Reform","$50,000","October 2020"
"Free Hearts — Criminal Justice Reform (2020)","Free Hearts","Criminal Justice Reform","$150,000","September 2020"
"The Humane League — Open Wing Alliance (2020)","The Humane League","Broiler Chicken Welfare","$3,600,000","September 2020"
"Direct Relief — COVID-19 Action Fund for Africa","Direct Relief","Global Health & Development","$275,000","October 2020"
"ANTI-VeC — Malaria Prevention Research",ANTI-VeC,"Human Health and Wellbeing","$700,000","October 2020"
"University of Glasgow — Malaria Prevention Research (Steven Sinkins)","University of Glasgow","Human Health and Wellbeing","$3,175,000","October 2020"
"Center for a New American Security — AI Governance Projects","Center for a New American Security",Longtermism,"$24,350","October 2020"
"Center for a New American Security — AI and Security Projects","Center for a New American Security",Longtermism,"$116,744","October 2020"
"Rice, Hadley, Gates and Manuel LLC — AI Accident Risk and Technology Competition","Rice, Hadley, Gates &amp; Manuel LLC",Longtermism,"$25,000","September 2020"
"Center for International Security and Cooperation — AI Accident Risk and Technology Competition","Center for International Security and Cooperation",Longtermism,"$67,000","September 2020"
"Center for Strategic and International Studies — AI Accident Risk and Technology Competition","Center for Strategic and International Studies",Longtermism,"$118,307","September 2020"
"Mass Liberation Project — General Support (2020)","Mass Liberation Project","Criminal Justice Reform","$150,000","July 2020"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (April 2020)","The Leadership Conference on Civil and Human Rights","Criminal Justice Reform","$75,000","May 2020"
"Group Nine Media — Factory Farming Videos (2020)","Group Nine Media","Farm Animal Welfare","$680,448","July 2020"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2020)","Workers Center for Racial Justice","Criminal Justice Reform","$20,000","August 2020"
"Michigan Liberation — Prosecutor Accountability (2020)","Michigan Liberation","Criminal Justice Reform","$80,000","August 2020"
"215 People’s Alliance — Criminal Justice Reform Coalition","215 People’s Alliance","Criminal Justice Reform","$155,000","July 2020"
"Icosavax — COVID-19 Vaccine Development",Icosavax,"Science Supporting Biosecurity and Pandemic Preparedness","$6,500,000","August 2020"
"BlackRoots Alliance — Work on Prosecutor Accountability (2020)","BlackRoots Alliance","Criminal Justice Reform","$15,000","September 2020"
"University of Pennsylvania — Geopolitical Forecasting Research (2020)","University of Pennsylvania","Other Areas","$29,432","August 2020"
"World Animal Net — Broiler Chicken and Pig Welfare Guidelines","World Animal Net","Broiler Chicken Welfare","$37,600","September 2020"
"AcceleratingHT — COVID-19 Response",AcceleratingHT,"Biosecurity & Pandemic Preparedness","$50,000","September 2020"
"We Got Us Now — Leadership, Training, and Planning Support (2020)","We Got Us Now","Criminal Justice Reform","$100,000","September 2020"
"Newark Community Street Team — Community-Based Public Safety Work","Newark Community Street Team","Criminal Justice Reform","$60,000","September 2020"
"Riboscience — COVID-19 Drug Research",Riboscience,"Science Supporting Biosecurity and Pandemic Preparedness","$210,000","September 2020"
"Labor Mobility Partnerships — International Labor Mobility","Labor Mobility Partnerships","Immigration Policy","$500,000","August 2020"
"Black Strategy Fund — General Support","Black Strategy Fund","Criminal Justice Reform","$100,000","September 2020"
"UC Berkeley — Assessing COVID-19 Infection Prevalence in Rural Kenya (Amy Pickering and Michael Kremer)","UC Berkeley","Scientific Research","$220,000","August 2020"
"International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020)","International Society for Applied Ethology","Farm Animal Welfare","$229,830","March 2020"
"Economic Policy Institute — Macroeconomic Policy Research (2020)","Economic Policy Institute","Macroeconomic Stabilization Policy","$550,000","August 2020"
"University of California, Los Angeles — Social Science Genetic Association Consortium (2020)","University of California, Los Angeles","Scientific Innovation: Tools and Techniques","$2,250,000","September 2020"
"Re-Imagine L.A. County — Measure J","Yes on J: Re-Imagine L.A. County","Criminal Justice Reform","$140,000","October 2020"
"InMyWords — Restorative Justice",InMyWords,"Criminal Justice Reform","$61,500","August 2020"
"Catalyst — Farm Animal Welfare i﻿n Thailand",Catalyst,"Farm Animal Welfare","$350,000","August 2020"
"Foundation for Food and Agriculture Research — Plant Protein Optimization Research","Foundation for Food and Agriculture Research","Other Scientific Research Areas","$250,000","June 2020"
"Foundation for Food and Agriculture Research — Chickpea and Corn Zein Research","Foundation for Food and Agriculture Research","Alternatives to Animal Products","$444,000","June 2020"
"VST Bio — Stroke Treatment","VST Bio","Human Health and Wellbeing","$4,500,000","July 2020"
"Run, George, Run — General Support (September 2020)","Run, George, Run","Criminal Justice Reform","$45,000","September 2020"
"Foundation for Food and Agriculture Research — Research on Drought-Tolerant Rice","Foundation for Food and Agriculture Research","Science for Global Health","$122,500","April 2020"
"New York University — Work on Fish Welfare (2020)","New York University","Farm Animal Welfare","$95,000","July 2020"
"Southsiders Organized for Unity and Liberation — Prosecutorial Accountability","Southsiders Organized for Unity and Liberation","Criminal Justice Reform","$150,000","August 2020"
"Project NIA — Transformative Justice Work Led by Mariame Kaba (2020)","Project NIA","Criminal Justice Reform","$170,000","July 2020"
"Stanford University — Universal Flu Drug Research (Jeffrey Glenn)","Stanford University","Scientific Research","$415,000","July 2020"
"Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in Asia (2020)","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$500,000","August 2020"
"Movement Voter Project — Criminal Justice Reform (2020)","Movement Voter Project","Criminal Justice Reform","$1,500,000","May 2020"
"New Incentives — General Support (April 2020)","New Incentives","Global Health & Development","$1,897,905","April 2020"
"Animal Advocacy Careers — General Support","Animal Advocacy Careers","Farm Animal Welfare","$432,000","June 2020"
"Dharma Voices for Animals — Farm Animal Welfare Legislation","Dharma Voices for Animals","Farm Animal Welfare","$150,000","July 2020"
"Momentum — Criminal Justice Reform Trainings (2020)",Momentum,"Criminal Justice Reform","$9,000","July 2020"
"Frontline Dads — General Support (June 2020)","Frontline Dads","Criminal Justice Reform","$15,000","June 2020"
"ReFrame — ReFrame Academy",ReFrame,"Criminal Justice Reform","$31,500","March 2020"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2020)","Grassroots Leadership, Inc.","Criminal Justice Reform","$150,000","July 2020"
"VOCAL-NY — Prosecutor Accountability",VOCAL-NY,"Criminal Justice Reform","$200,000","June 2020"
"Rita Allen Foundation — Award in Pain Scholars","Rita Allen Foundation","Human Health and Wellbeing","$330,000","July 2020"
"Public Policy and Education Fund of New York — Criminal Justice Reform","Public Policy and Education Fund of New York","Criminal Justice Reform","$15,000","May 2020"
"Just Outcomes — Restorative Justice Convenings and Affinity Group Meetings","Just Outcomes","Criminal Justice Reform","$30,000","March 2020"
"Animal Outlook — Factory Farm Investigations Media Coverage","Animal Outlook","Farm Animal Welfare","$44,200","May 2020"
"The Pollination Project — Farm Animal and Veg Advocacy Conference","The Pollination Project","Farm Animal Welfare","$75,800","May 2020"
"JusticeLA — General Support",JusticeLA,"Criminal Justice Reform","$100,000","June 2020"
"Southerners on New Ground — Criminal Justice Reform Work","Southerners On New Ground","Criminal Justice Reform","$100,000","April 2020"
"VegeProject — Corporate Outreach (2020)",VegeProject,"Alternatives to Animal Products","$102,400","July 2020"
"CAF America — Farm Animal Welfare","CAF America","Farm Animal Welfare","$130,670","June 2020"
"Food Frontier — Plant-Based Meat Alternatives","Food Frontier","Alternatives to Animal Products","$200,000","June 2020"
"Encompass — Diversity in the Farm Animal Welfare Movement",Encompass,"Farm Animal Welfare","$200,000","May 2020"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2020)","We Animals Media","Farm Animal Welfare","$517,000","June 2020"
"Charity Entrepreneurship — Development of New Animal Welfare Charities (2020)","Charity Entrepreneurship","Farm Animal Welfare","$260,000","May 2020"
"Centre for the Governance of AI — General Support","Centre for the Governance of AI",Longtermism,"$450,000","May 2020"
"Center for Popular Democracy — Fed Up Campaign (2020)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$465,000","June 2020"
"Wilson Center — AI Policy Seminar Series (June 2020)","The Wilson Center",Longtermism,"$496,540","June 2020"
"UC Berkeley — Deworming and Cash Transfers (2020)","UC Berkeley","Global Health & Development","$88,000","March 2020"
"Kainomyx — Antimalarial Drug (2019)",Kainomyx,"Human Health and Wellbeing","$1,999,999","May 2020"
"Employ America — General Support (2020)","Employ America","Macroeconomic Stabilization Policy","$1,000,000","July 2020"
"Future of Humanity Institute — Research Scholars Programme","Future of Humanity Institute","Effective Altruism Community Growth","$1,586,224","May 2020"
"Stanford University — Coronavirus Drug Research (June 2020) (Jeffrey Glenn)","Stanford University","Scientific Research","$2,531,000","June 2020"
"Global Priorities Institute — General Support (2020)","Global Priorities Institute","Other Areas","$3,298,715","April 2020"
"Effective Altruism Foundation — European Policy Research","Effective Altruism Foundation","Global Health & Development","$15,358","April 2020"
"Conservative Animal Welfare Foundation — Farm Animal Welfare Advocacy","Conservative Animal Welfare Foundation","Farm Animal Welfare","$488,467","May 2020"
"Eurogroup for Animals — EU Chicken Welfare Advocacy (2020)","Eurogroup for Animals","Broiler Chicken Welfare","$635,000","May 2020"
"Mass Liberation Arizona — General Support","Mass Liberation Arizona","Criminal Justice Reform","$10,000","May 2020"
"Reducetarian Foundation — Fish Consumption Messaging Research","Reducetarian Foundation","Farm Animal Welfare","$14,190","April 2020"
"Families Against Mandatory Minimums — General Support","Families Against Mandatory Minimums","Criminal Justice Reform","$15,000","April 2020"
"Court Watch NOLA — General Support (2020)","Court Watch NOLA","Criminal Justice Reform","$15,000","May 2020"
"Amistad Law Project — General Support (April 2020)","Amistad Law Project","Criminal Justice Reform","$15,000","April 2020"
"Riverside Justice Table — Criminal Justice Reform Work","Riverside Justice Table","Criminal Justice Reform","$15,000","April 2020"
"Equity and Transformation — General Support","Equity and Transformation","Criminal Justice Reform","$25,000","April 2020"
"You Are Not Alone — Drug Possession Decriminalization","You Are Not Alone","Criminal Justice Reform","$30,000","May 2020"
"World Economic Forum — Global AI Council Workshop","World Economic Forum",Longtermism,"$50,000","April 2020"
"Soroka Medical Center — COVID-19 Interferon Lambda Trial Study (Ohad Etzion)","Soroka Medical Center","Scientific Research","$55,000","May 2020"
"San Francisco Rising — Prosecutor Accountability","San Francisco Rising","Criminal Justice Reform","$50,000","February 2020"
"A New Way of Life — General Support","A New Way of Life","Criminal Justice Reform","$25,000","April 2020"
"Johns Hopkins University — Support for Jared Kaplan and Brice Ménard","Johns Hopkins University",Longtermism,"$55,000","March 2020"
"Humane Society International — African Swine Fever Training (2020)","Humane Society International","Farm Animal Welfare","$60,000","May 2020"
"Court Watch NOLA — Coalition Coordination (2020)","Court Watch NOLA","Criminal Justice Reform","$35,000","March 2020"
"Mijente — Criminal Justice Reform (2020)",Mijente,"Criminal Justice Reform","$100,000","May 2020"
"Duke University — COVID-19 Antiviral Studies (Ria Goswami)","Duke University","Scientific Research","$130,982","May 2020"
"Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations",Equalia,"Broiler Chicken Welfare","$150,000","April 2020"
"Andrew Lohn — A Paper on Machine Learning Model Robustness","Andrew Lohn",Longtermism,"$15,000","June 2020"
"Animal Nepal — Farm Animal Welfare","Animal Nepal","Farm Animal Welfare","$271,700","April 2020"
"Nuclear Threat Initiative — Biosecurity Program Support (May 2020)","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$500,000","May 2020"
"Life Sciences Research Foundation — Young Investigators (2020)","Life Sciences Research Foundation","Transformative Basic Science","$585,000","May 2020"
"Sinergia Animal — Corporate Cage-Free Campaigns","Sinergia Animal","Cage-Free Reforms","$800,000","May 2020"
"Stanford University — Preclinical Research on Hepatitis B (Jeffrey Glenn)","Stanford University","Human Health and Wellbeing","$915,000","May 2020"
"iGEM — Synthetic Biology Safety and Security (2020)","International Genetically Engineered Machine Foundation","Biosecurity & Pandemic Preparedness","$940,000","April 2020"
"Compassion in World Farming USA — Global EggTrack Program","Compassion in World Farming USA","Cage-Free Reforms","$78,750","April 2020"
"Daniel Kang, Jacob Steinhardt, Yi Sun, and Alex Zhai — Study of the Robustness of Machine Learning Models",,Longtermism,"$2,351","November 2018"
"Mercy Corps — Seasonal Migration Pilot Project and RCT","Mercy Corps","Immigration Policy","$1,000,000","April 2020"
"Safety and Justice Oregon — General Support","Safety and Justice Oregon","Criminal Justice Reform","$200,000","March 2020"
"Alianima — General Support",Alianima,"Cage-Free Reforms","$130,000","March 2020"
"Commonwealth Veterinary Association — Farm Animal Welfare","Commonwealth Veterinary Association","Farm Animal Welfare","$15,000","February 2020"
"Harvard University — Biosecurity and Biosafety","Harvard University","Biosecurity & Pandemic Preparedness","$315,000","June 2020"
"Dao Foods — Plant-Based Startup Incubator (2020)","Dao Foods","Alternatives to Animal Products","$215,000","January 2020"
"Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky) (2020)","Rockefeller University","Scientific Research","$200,000","April 2020"
"Future of Humanity Institute — New DPhil Positions","Future of Humanity Institute","Effective Altruism Community Growth","$939,263","February 2020"
"fair-fish international association — General Support","fair-fish international association","Farm Animal Welfare","$630,370","March 2020"
"African Union Development Agency — General Support (2020)","African Union Development Agency","Human Health and Wellbeing","$2,500,000","April 2020"
"Stanford University — Infant Immunome Study (Mark Davis, Justin Sonnenburg, and Bali Pulendran)","Stanford University","Human Health and Wellbeing","$8,293,676","March 2020"
"Center for Population-Level Bioethics — General Support","Center for Population-Level Bioethics","Biosecurity & Pandemic Preparedness","$250,000","May 2020"
"Gryphon Scientific — Empirical Biosafety Research","Gryphon Scientific","Biosecurity & Pandemic Preparedness","$2,000,000","May 2020"
"Working Families Party — Prosecutor Reforms in New York (2020)","Working Families Party","Criminal Justice Reform","$117,300","May 2020"
"Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2020)","Foundation for Food and Agriculture Research","Alternatives to Animal Products","$500,000","April 2020"
"Rutgers University — Nuclear Conflict Climate Modeling (2020)","Rutgers University",Longtermism,"$3,000,000","April 2020"
"Penn State University — Research on Emergency Food Resilience (Charles Anderson) (2020)","Penn State University","Other Scientific Research Areas","$3,064,660","May 2020"
"LessWrong — General Support",LessWrong,"Effective Altruism Community Growth","$300,000","April 2020"
"Movement Alliance Project — Prosecutor Accountability (March 2020)","Movement Alliance Project","Criminal Justice Reform","$180,000","March 2020"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (2020)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$250,000","April 2020"
"Florida Rights Restoration Coalition — General Support (2020)","Florida Rights Restoration Coalition","Criminal Justice Reform","$500,000","April 2020"
"Truth, Reconciliation, and Reparations — General Support","Truth, Reconciliation, and Reparations","Criminal Justice Reform","$25,000","April 2020"
"Law for Black Lives — Criminal Justice Reform (2020)","Law for Black Lives","Criminal Justice Reform","$100,000","April 2020"
"Centre for Effective Altruism — Support for The Precipice","Center for Effective Altruism","Effective Altruism Community Growth","$38,350","January 2020"
"Soko Tierschutz — Factory Farm Investigations (2020)","Soko Tierschutz","Farm Animal Welfare","$297,291","February 2020"
"Environmental & Animal Society of Taiwan — Farm Animal Welfare Campaigns","Environmental &amp; Animal Society of Taiwan","Broiler Chicken Welfare","$521,000","January 2020"
"1Day Sooner — General Support (May 2020)","1Day Sooner","Biosecurity & Pandemic Preparedness","$500,000","May 2020"
"University of Oxford — New Office for Effective Altruism Organizations","University of Oxford","Effective Altruism Community Growth","$776,271","February 2020"
"Impact Justice — Restorative Justice Project (2019)","Impact Justice","Criminal Justice Reform","$4,000,000","December 2019"
"Centre for Effective Altruism — Support for Jade Leung","Centre for Effective Altruism","Effective Altruism Community Growth","$180,000","February 2020"
"Brighter Green — Farm Animal Welfare Advocacy (2020)","Brighter Green","Farm Animal Welfare","$340,000","March 2020"
"Wilson Center — AI Policy Seminar Series (February 2020)","The Wilson Center",Longtermism,"$368,440","February 2020"
"Royal Society for the Prevention of Cruelty to Animals — Broiler Chicken Welfare Outreach","Royal Society for the Prevention of Cruelty to Animals","Broiler Chicken Welfare","$425,000","March 2020"
"Open Phil AI Fellowship — 2020 Class","Open Phil AI Fellowship",Longtermism,"$2,300,000","May 2020"
"Vegan Women Summit — General Support","Vegan Women Summit","Alternatives to Animal Products","$5,000","January 2020"
"Stanford University — AI Safety Seminar","Stanford University",Longtermism,"$6,500","January 2020"
"Press Shop — Support for Human Compatible","Press Shop",Longtermism,"$17,000","January 2020"
"Amistad Law Project — General Support (February 2020)","Amistad Law Project","Criminal Justice Reform","$25,000","February 2020"
"Texas Inmate Families Association — General Support (2020)","Texas Inmate Families Association","Criminal Justice Reform","$120,000","January 2020"
"Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research",,"Farm Animal Welfare","$156,781","January 2020"
"Berkeley Existential Risk Initiative — General Support","Berkeley Existential Risk Initiative",Longtermism,"$150,000","January 2020"
"ActAsia — Reduce Fur Demand in Asia (2020)",ACTAsia,"Farm Animal Welfare","$300,000","January 2020"
"University of Missouri — Animal Welfare Research","University of Missouri","Farm Animal Welfare","$189,000","January 2020"
"Niskanen Center — Research on Immigration Policy (2020)","Niskanen Center","Immigration Policy","$200,000","January 2020"
"Certified Humane — Farm Animal Welfare Certification Work (2020)","Certified Humane","Farm Animal Welfare","$210,000","January 2020"
"CDC Foundation — Reproductive Health Data Analysis (Dmitry Kissin)","CDC Foundation","Human Health and Wellbeing","$662,072","February 2020"
"Alliance for Safety and Justice — General Support (December 2019)","Alliance for Safety and Justice","Criminal Justice Reform","$10,000,000","December 2019"
"YIMBY Law — General Support","YIMBY Law","Land Use Reform","$100,000","January 2020"
"Georgetown University — Center on Poverty and Inequality","The Center on Poverty and Inequality","Macroeconomic Stabilization Policy","$50,000","January 2020"
"Center for Global Development — Migration Program (2020)","Center for Global Development","Immigration Policy","$1,000,000","March 2020"
"Georgetown Center for Global Health Science and Security — General Support (March 2020)","Georgetown Center for Global Health Science and Security","Biosecurity & Pandemic Preparedness","$2,400,000","March 2020"
"Brown Institute for Media Innovation — COVID-19 Rapid Micro-Grants","Brown Institute for Media Innovation","Biosecurity & Pandemic Preparedness","$15,000","April 2020"
"Engineers Without Borders USA — COVID-19 Hospital Equipment","Engineers Without Borders USA","Scientific Research","$250,000","April 2020"
"Icahn School of Medicine at Mount Sinai — COVID-19 Diagnostic Testing (Adolfo García-Sastre)","Icahn School of Medicine at Mount Sinai","Scientific Research","$627,700","April 2020"
"University of Michigan — COVID-19 Protein Production (Aubree Gordon)","University of Michigan","Scientific Research","$348,000","April 2020"
"Center for Global Development — COVID-19 Net Health Impact Calculations","Center for Global Development","Global Health & Development","$550,000","April 2020"
"Sea-Long Global Respiratory Systems — COVID-19 Ventilation Helmet Production","Sea-Long Global Respiratory Systems","Biosecurity & Pandemic Preparedness","$325,000","April 2020"
"Harvard University — COVID-19 Serological Tests (Michael Mina)","Harvard University","Scientific Research","$1,784,981","April 2020"
"Center for Applied Rationality — General Support (2020)","Center for Applied Rationality","Effective Altruism Community Growth","$375,000","February 2020"
"World Animal Protection — Farm Animal Welfare in Southeast Asia","World Animal Protection","Farm Animal Welfare","$400,000","January 2020"
"Against COVID-19 — COVID-19 Database Support","Against COVID-19","Biosecurity & Pandemic Preparedness","$10,000","March 2020"
"Essere Animali — Farm Animal Welfare Work in Italy (2020)","Essere Animali","Farm Animal Welfare","$462,974","January 2020"
"Center for Welfare Metrics — Impacts of Animal Welfare Reforms (2020)","Center for Welfare Metrics","Cage-Free Reforms","$784,586","January 2020"
"Rethink Priorities — Farm Animal Welfare Research (2020)","Rethink Priorities","Farm Animal Welfare","$910,000","January 2020"
"UC Davis — Malaria Gene Drive Feasibility Analysis (Greg Lanzaro)","UC Davis","Human Health and Wellbeing","$1,500,000","February 2020"
"Broad Institute — Pandemic Preemption System (Pardis Sabeti and Christian Happi)","Broad Institute","Scientific Research","$1,000,000","March 2020"
"Charity Science Health — Exit Grant","Charity Science Health","Global Health & Development","$214,425","December 2019"
"UC Berkeley — Research on Rapid COVID-19 Serology Testing (Lisa Barcellos and Eva Harris)","UC Berkeley","Scientific Research","$1,300,000","April 2020"
"University of Colorado — COVID-19 Personal Protective Equipment Experiments","University of Colorado","Biosecurity & Pandemic Preparedness","$250,000","April 2020"
"FAI Farms — Cage-Free Egg Investigation","FAI Farms","Cage-Free Reforms","$105,000","January 2020"
"Jason Crawford — The Roots of Progress","Jason Crawford","Other Areas","$75,000","January 2020"
"LA Voice — Prosecutor Accountability","LA Voice","Criminal Justice Reform","$150,000","January 2020"
"Machine Intelligence Research Institute — General Support (2020)","Machine Intelligence Research Institute",Longtermism,"$7,703,750","February 2020"
"Broad Institute — COVID-19 Diagnostic Testing (Stacey Gabriel)","Broad Institute","Scientific Research","$925,000","March 2020"
"Johns Hopkins Center for Health Security — Masters and PhD Program Support","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$1,860,000","February 2020"
"Nuclear Threat Initiative — Biosecurity Program Support (February 2020)","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$8,000,000","February 2020"
"Stanford University — Coronavirus Drug Research (February 2020) (Jeffrey Glenn)","Stanford University","Scientific Research","$165,000","February 2020"
"UC Davis — Research on Antiviral Drugs (Koen Van Rompay)","UC Davis","Scientific Research","$170,190","March 2020"
"Californians for Stem Cell Research, Treatments and Cures — California Institute for Regenerative Medicine","Californians for Stem Cell Research, Treatments and Cures","Transformative Basic Science","$580,000","April 2020"
"Council on Strategic Risks — Biological Weapons Prevention (March 2020)","Council on Strategic Risks","Biosecurity & Pandemic Preparedness","$410,000","March 2020"
"IDinsight — Endline Evaluation of New Incentives RCT",IDinsight,"Global Health & Development","$2,105,962","August 2019"
"A New Way of Life — Community Education and Voter Registration","A New Way of Life","Criminal Justice Reform","$200,000","November 2019"
"IDinsight — New Incentives RCT",IDinsight,"Global Health & Development","$184,324","March 2019"
"IDinsight — Beneficiary Preferences Survey",IDinsight,"Global Health & Development","$474,374","March 2019"
"University of Southern California — Social Science Genetic Association Consortium (July 2019)","University of Southern California","Scientific Research","$2,250,000","July 2019"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — Regranting to Promising Projects","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$500,000","January 2020"
"Broad Institute — Genome Editing Research (Feng Zhang)","Broad Institute","Transformative Basic Science","$2,500,000","December 2019"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (February 2020)","The Leadership Conference on Civil and Human Rights","Criminal Justice Reform","$200,000","February 2020"
"WestExec — Report on Assurance in Machine Learning Systems",WestExec,Longtermism,"$540,000","February 2020"
"RAND Corporation — Research on the State of AI Assurance Methods","The RAND Corporation",Longtermism,"$30,751","January 2020"
"gui2de — Zusha! Road Safety Campaign (February 2020)","Georgetown University Initiative on Innovation, Development, and Evaluation","GiveWell-Recommended Charities","$100,000","February 2020"
"Project Healthy Children — General Support (December 2019)","Project Healthy Children","GiveWell-Recommended Charities","$100,000","December 2019"
"Living Goods — General Support (January 2020)","Living Goods","GiveWell-Recommended Charities","$100,000","January 2020"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2020)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$100,000","January 2020"
"Iodine Global Network — General Support (December 2019)","Iodine Global Network","GiveWell-Recommended Charities","$100,000","December 2019"
"Food Fortification Initiative — General Support (December 2019)","Food Fortification Initiative","GiveWell-Recommended Charities","$100,000","December 2019"
"Development Media International — General Support (January 2020)","Development Media International","GiveWell-Recommended Charities","$100,000","January 2020"
"Evidence Action — Dispensers for Safe Water Program (2019)","Evidence Action","GiveWell-Recommended Charities","$100,000","December 2019"
